Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-11-03,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-11-04,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-11-08,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-11-09,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-11-10,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-11-11,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-11-12,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-11-15,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-11-16,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-11-17,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-11-18,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-11-22,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-11-23,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-11-24,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-11-25,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-11-26,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-11-29,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-11-30,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-01,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-02,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-03,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-06,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-07,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-08,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-09,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-10,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-13,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-14,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-15,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-16,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-17,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-20,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-21,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-22,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-23,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-24,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-27,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-28,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-29,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-30,4.0,4.0,4.0,4.0,0,0.0,0.0,
2021-12-31,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-01-03,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-01-04,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-01-05,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-01-06,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-01-07,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-01-10,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-01-11,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-01-12,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-01-13,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-01-14,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-01-17,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-01-18,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-01-19,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-01-20,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-01-21,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-01-24,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-01-25,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-01-27,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-01-28,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-01-31,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-02-01,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-02-02,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-02-03,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-02-04,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-02-07,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-02-08,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-02-09,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-02-10,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-02-11,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-02-14,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-02-15,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-02-16,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-02-17,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-02-18,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-02-21,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-02-22,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-02-23,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-02-24,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-02-25,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-02-28,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-02,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-03,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-04,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-07,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-08,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-09,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-10,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-11,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-14,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-15,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-16,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-17,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-21,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-22,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-23,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-24,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-25,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-28,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-29,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-30,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-03-31,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-04-01,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-04-04,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-04-05,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-04-06,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-04-07,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-04-08,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-04-11,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-04-12,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-04-13,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-04-18,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-04-19,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-04-20,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-04-21,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-04-22,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-04-25,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-04-26,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-04-27,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-04-28,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-04-29,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-02,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-04,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-05,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-06,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-09,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-10,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-11,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-12,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-13,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-16,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-17,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-18,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-19,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-20,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-23,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-24,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-25,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-26,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-27,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-30,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-05-31,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-01,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-02,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-03,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-06,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-07,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-08,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-09,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-10,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-13,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-14,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-15,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-16,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-17,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-20,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-21,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-22,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-23,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-24,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-27,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-28,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-29,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-06-30,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-01,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-04,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-05,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-06,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-07,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-08,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-11,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-12,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-13,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-14,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-15,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-18,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-19,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-20,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-21,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-22,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-25,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-26,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-27,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-28,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-07-29,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-08-01,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-08-02,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-08-03,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-08-04,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-08-05,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-08-08,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-08-10,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-08-11,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-08-12,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-08-16,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-08-17,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-08-18,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-08-19,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-08-22,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-08-23,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-08-24,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-08-25,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-08-26,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-08-29,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-08-30,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-01,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-02,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-05,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-06,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-07,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-08,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-09,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-12,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-13,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-14,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-15,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-16,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-19,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-20,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-21,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-22,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-23,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-26,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-27,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-28,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-29,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-09-30,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-10-03,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-10-04,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-10-06,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-10-07,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-10-10,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-10-11,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-10-12,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-10-13,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-10-14,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-10-17,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-10-18,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-10-19,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-10-20,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-10-21,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-10-24,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-10-25,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-10-27,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-10-28,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-10-31,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-01,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-02,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-03,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-04,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-07,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-09,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-10,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-11,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-14,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-15,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-16,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-17,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-18,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-21,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-22,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-23,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-24,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-25,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-28,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-29,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-11-30,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-01,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-02,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-05,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-06,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-07,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-08,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-09,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-12,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-13,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-14,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-15,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-16,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-19,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-20,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-21,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-22,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-23,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-26,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-27,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-28,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-29,4.0,4.0,4.0,4.0,0,0.0,0.0,
2022-12-30,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-02,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-03,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-04,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-05,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-06,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-09,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-10,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-11,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-12,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-13,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-16,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-17,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-18,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-19,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-20,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-23,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-24,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-25,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-27,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-30,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-01-31,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-02-01,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-02-02,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-02-03,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-02-06,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-02-07,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-02-08,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-02-09,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-02-10,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-02-13,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-02-14,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-02-15,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-02-16,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-02-17,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-02-20,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-02-21,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-02-22,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-02-23,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-02-24,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-02-27,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-02-28,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-01,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-02,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-03,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-06,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-08,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-09,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-10,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-13,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-14,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-15,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-16,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-17,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-20,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-21,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-22,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-23,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-24,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-27,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-28,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-29,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-03-31,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-04-03,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-04-05,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-04-06,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-04-10,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-04-11,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-04-12,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-04-13,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-04-17,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-04-18,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-04-19,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-04-20,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-04-21,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-04-24,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-04-25,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-04-26,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-04-27,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-04-28,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-02,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-03,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-04,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-05,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-08,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-09,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-10,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-11,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-12,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-15,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-16,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-17,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-18,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-19,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-22,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-23,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-24,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-25,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-26,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-29,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-30,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-05-31,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-06-01,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-06-02,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-06-05,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-06-06,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-06-07,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-06-08,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-06-09,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-06-12,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-06-13,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-06-14,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-06-15,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-06-16,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-06-19,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-06-20,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-06-21,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-06-22,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-06-23,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-06-26,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-06-27,4.0,4.0,4.0,4.0,0,0.0,0.0,
2023-06-28,4.0,4.0,4.0,4.0,0,0.0,0.0,
